DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE
1NP-ACCESS1;Gig4/0/3;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/4;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/5;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/6;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/7;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/8;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/9;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/10;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
1NP-ACCESS1;Gig4/0/11;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
1NP-ACCESS1;Gig4/0/12;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
1NP-ACCESS1;Gig4/0/13;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
1NP-ACCESS1;Gig4/0/14;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/15;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/16;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/17;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/18;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/19;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/20;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/21;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/22;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/23;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/0/24;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig4/1/1;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Gig4/1/2;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Gig4/1/3;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Gig4/1/4;-;;;;DOWN;;;;; ;
